wrong|right
stadions|stadioner
standart|standard
staniol|stanniol
statusen|statussen
statusens|statussens
statuser|statusser
statuserne|statusserne
statusernes|statussernes
statusers|statussers
sterefoni|stereofoni
sterin|stearin
strukket|strakt
strukturede|strukturerede
strøes|strøs
størrere|større
suces |succes
suvenir |souvenir
svingeninger|svingninger
syntax|syntaks
sysselssætte|sysselsætte
sæsonnen|sæsonen
tastetur|tastatur
taxonomi|taksonomi
taxonomisk|taksonomisk
temmeligt|temmelig
terasse |terrasse
termometmager|termometermager
territotale|territoriale
the|te
thermisk|termisk
thermiske|termiske
tilbudene|tilbuddene
tilbudet|tilbuddet
tilflugssted|tilflugtssted
tillbragte|tilbragte
tilskuerepladsen|tilskuerpladsen
tilskuerepladser|tilskuerpladser
tourmalin|turmalin
tredie|tredje
triologi|trilogi
tronfølgerloven|tronfølgeloven
tyggummi|tyggegummi
typper|typer
tøjleløs|tøjlesløs
tøjleløse|tøjlesløse
tøjleløst|tøjlesløst
udannet|uddannet
udemærket|udmærket
udflod|udflåd
ulinieret|ulinjeret
ummiddelbart|umiddelbart
ursurperede|usurperede
ursurperet|usurperet
uværgelig|uvægerlig
vanille|vanilje
vantrohed|vantro
vejne|vegne
vermut|vermouth
vigtigeste|vigtigste
virkefeldt|virkefelt
virusser|vira
våbentilstand|våbenstilstand
vædske|væske
vædsken|væsken
vædskens|væskens
vædsker|væsker
vædskerne|væskerne
ynglingsfilm|yndlingsfilm
yugurt |yoghurt
zealandsk|newzealandsk
ærende|ærinde
ærgelig|ærgerlig
ærkebiskopsæde|ærkebispesæde
ærkebiskopsædet|ærkebispesædet
æstimat|estimat
æstime|estime
æstimere|estimere
æstimering|estimering
øjehøjde|øjenhøjde
øjjet|øjet
